time,DEVICE VOLTAGE B2|XI2,DEVICE VOLTAGE B2|XI4,DEVICE VOLTAGE B2|XI6,DEVICE VOLTAGE B1|XI10
2.1000000000000002e-11,1.0297051469883784e-04,4.6453689553598536e-04,8.3634187356073234e-05,6.2049165448222087e-05
2.1200000000000002e-11,9.9012620960452945e-05,4.5842521650020106e-04,8.7210235204973635e-05,6.3374847874723644e-05
2.1400000000000002e-11,9.9016542223711692e-05,4.3734166800045340e-04,9.1496030608850137e-05,6.7955406997850836e-05
2.1600000000000002e-11,1.0097828638409911e-04,4.0283973743888052e-04,9.6555276342748123e-05,7.4852412691948467e-05
2.1800000000000002e-11,1.0319806714618492e-04,3.5860795804027460e-04,1.0248398069693225e-04,8.3403182520258592e-05
2.2000000000000002e-11,1.0441635565012487e-04,3.0956254505911171e-04,1.0941153245348336e-04,9.3190201957079783e-05
2.2200000000000002e-11,1.0385977392808377e-04,2.6069628445337604e-04,1.1750195024322841e-04,1.0401003060851246e-04
2.2400000000000001e-11,1.0120992536810177e-04,2.1613950090399115e-04,1.2695549856023809e-04,1.1584469602825602e-04
2.2600000000000001e-11,9.6521069849583358e-05,1.7866480287132016e-04,1.3801057217195564e-04,1.2883760592691831e-04
2.2800000000000001e-11,9.0114806595756628e-05,1.4961184336995689e-04,1.5094530415923365e-04,1.4327530421735459e-04
2.3000000000000001e-11,8.2474477977485469e-05,1.2907738731040956e-04,1.6607765556247219e-04,1.5957560387077995e-04
2.3200000000000001e-11,7.4153528159558792e-05,1.1621632974812931e-04,1.8376164207362011e-04,1.7828147838229802e-04
2.3400000000000001e-11,6.5704170610607598e-05,1.0956066301055878e-04,2.0437562991739320e-04,2.0005822626114285e-04
2.3600000000000001e-11,5.7627167287816123e-05,1.0732025661035813e-04,2.2829605388035575e-04,2.2568823922183463e-04
2.3800000000000001e-11,5.0340485169277287e-05,1.0765367564244190e-04,2.5584637949331861e-04,2.5605223338152065e-04
2.4000000000000001e-11,4.4163450895544911e-05,1.0889543685152514e-04,2.8720712184309403e-04,2.9207671581657886e-04
2.4200000000000001e-11,3.9312971743475108e-05,1.0971973543854901e-04,3.2227022835275022e-04,3.3461360391459980e-04
2.4400000000000001e-11,3.5908798339290755e-05,1.0922545099070370e-04,3.6042522717340394e-04,3.8420032084895170e-04
2.4600000000000001e-11,3.3985297777987131e-05,1.0694297054989465e-04,4.0028502976809604e-04,4.4063596826909071e-04
2.4800000000000001e-11,3.3507624277906506e-05,1.0277990621288121e-04,4.3940896927777926e-04,5.0232850170355415e-04
2.5000000000000001e-11,3.4390487981375490e-05,9.6931487027686095e-05,4.7416303560971726e-04,5.6547725907676264e-04
2.5200000000000001e-11,3.6517963980825464e-05,8.9780593822921280e-05,4.9993741690687826e-04,6.2342498508691452e-04
2.5400000000000001e-11,3.9763005374939906e-05,8.1805540639965990e-05,5.1192011832276317e-04,6.6689787691734783e-04
2.5600000000000001e-11,4.4005571126935461e-05,7.3505321146635403e-05,5.0638762241544206e-04,6.8594704116488054e-04
2.5800000000000001e-11,4.9148574353115209e-05,6.5345198198997421e-05,4.8206258323570881e-04,6.7353236836026050e-04
2.6000000000000001e-11,5.5131194338665458e-05,5.7721311052243003e-05,4.4083154524354620e-04,6.2897181901493376e-04
2.6200000000000001e-11,6.1939446415484078e-05,5.0941126816069675e-05,3.8736617708430337e-04,5.5874757575247712e-04
2.6400000000000001e-11,6.9614222279917686e-05,4.5216235102267490e-05,3.2783737842854326e-04,4.7393653005720678e-04
2.6600000000000001e-11,7.8257247311599632e-05,4.0664367122914800e-05,2.6839339879502263e-04,3.8614829586109745e-04
2.6800000000000001e-11,8.8035498223406534e-05,3.7318075492400611e-05,2.1402513852393113e-04,3.0444402952822005e-04
2.7000000000000000e-11,9.9184530790869473e-05,3.5137984531137855e-05,1.6804858397492030e-04,2.3423756360788301e-04
2.7200000000000000e-11,1.1201082683482032e-04,3.4028851221291465e-05,1.3208870034381055e-04,1.7769703327104856e-04
2.7400000000000000e-11,1.2689262225969888e-04,3.3856898297592035e-05,1.0633296636820247e-04,1.3474469755856422e-04
2.7600000000000000e-11,1.4427767549052175e-04,3.4467057392872993e-05,8.9875870135237669e-05,1.0403541027087362e-04
2.7800000000000000e-11,1.6467507700663688e-04,3.5698949706002638e-05,8.1071335836585426e-05,8.3675037512448471e-05
2.8000000000000000e-11,1.8863656529868978e-04,3.7400669219894962e-05,7.7870593442006376e-05,7.1667016862465908e-05
2.8200000000000000e-11,2.1672099965916027e-04,3.9439725458081018e-05,7.8135467908510138e-05,6.6155743555083938e-05
2.8400000000000000e-11,2.4943345778856673e-04,4.1710830104116269e-05,7.9905834047092744e-05,6.5540681242325937e-05
2.8600000000000000e-11,2.8712694056303118e-04,4.4140539522826000e-05,8.1593734974456394e-05,6.8516085016150159e-05
2.8800000000000000e-11,3.2984847409226218e-04,4.6689054762298625e-05,8.2086847977514094e-05,7.4071023689400596e-05
2.9000000000000000e-11,3.7710359914066660e-04,4.9349701120621207e-05,8.0763824011500281e-05,8.1469749731759005e-05
2.9200000000000000e-11,4.2751442436850116e-04,5.2146744555123737e-05,7.7441262733559470e-05,9.0223529054067868e-05
2.9400000000000003e-11,4.7838417527134799e-04,5.5132251835360325e-05,7.2279826643913359e-05,1.0006014626972965e-04
2.9600000000000000e-11,5.2529396793917643e-04,5.8382678098450374e-05,6.5675539363309939e-05,1.1089478864029792e-04
2.9800000000000003e-11,5.6204855758388889e-04,6.1995789562137397e-05,5.8155585216855629e-05,1.2280470624455005e-04
3.0000000000000000e-11,5.8142901921690244e-04,6.6088422512090440e-05,5.0289964319881270e-05,1.3600923178262814e-04
3.0200000000000003e-11,5.7700524954420931e-04,7.0795461216726231e-05,4.2623692746110321e-05,1.5085601545830396e-04
3.0400000000000000e-11,5.4552640880018799e-04,7.6270299759405327e-05,3.5629792364690930e-05,1.6781342465624081e-04
3.0600000000000003e-11,4.8861044285614054e-04,8.2686940053244842e-05,2.9680933739109009e-05,1.8746769630580701e-04
3.0800000000000000e-11,4.1257003144670875e-04,9.0243764162751777e-05,2.5036662864658513e-05,2.1052117233645221e-04
3.1000000000000003e-11,3.2643773154743911e-04,9.9168883628574902e-05,2.1843019017284964e-05,2.3778405517184366e-04
3.1200000000000000e-11,2.3941626669053990e-04,1.0972677307034839e-04,2.0141571479777968e-05,2.7014546272680090e-04
3.1400000000000003e-11,1.5900590995783747e-04,1.2222557400650601e-04,1.9885204489567413e-05,3.0849878535166742e-04
3.1599999999999999e-11,9.0251706234554033e-05,1.3702390342539946e-04,2.0958254144824954e-05,3.5358084281204377e-04
3.1800000000000003e-11,3.5843261346326018e-05,1.5453506624763715e-04,2.3198836073906058e-05,4.0566735590937241e-04
3.1999999999999999e-11,-3.4014816695227124e-06,1.7522504110133711e-04,2.6421434560151213e-05,4.6406335720408480e-04
3.2200000000000003e-11,-2.8002890459773257e-05,1.9959822809340316e-04,3.0438099749533065e-05,5.2637488187224984e-04
3.2399999999999999e-11,-3.9376128296353966e-05,2.2816146294361687e-04,3.5076950780726761e-05,5.8771540285144073e-04
3.2600000000000002e-11,-3.9492330280310575e-05,2.6135211497762010e-04,4.0197109963280230e-05,6.4033113315089282e-04
3.2799999999999999e-11,-3.0615047338138771e-05,2.9941067878373740e-04,4.5699666041268603e-05,6.7445857595171185e-04
3.3000000000000002e-11,-1.5085251403611574e-05,3.4217438984214798e-04,5.1534731539192353e-05,6.8099512609272089e-04
3.3199999999999999e-11,4.8543850163103625e-06,3.8877281843025506e-04,5.7705063105630419e-05,6.5526037987388860e-04
3.3400000000000002e-11,2.7191604984151173e-05,4.3723464188923376e-04,6.4267006735371958e-05,5.9956952953851253e-04
3.3599999999999999e-11,5.0224829854503676e-05,4.8409127403125886e-04,7.1329681632737200e-05,5.2259962311325197e-04
3.3800000000000002e-11,7.2587944572448051e-05,5.2420007804528763e-04,7.9053315520133028e-05,4.3595980358042874e-04
